readyFrame:4
currentTime:44386.109603
count:52
x y response
344 122 58
290 130 58
247 177 44
333 121 32
309 119 31
56 66 29
109 22 26
295 234 26
252 39 25
373 126 25
250 38 21
326 125 20
288 129 16
50 171 16
53 60 15
135 178 15
255 279 13
308 116 12
339 122 12
248 237 12
251 187 12
298 255 11
191 187 10
254 186 10
255 184 10
293 128 10
368 132 10
55 86 10
52 63 10
56 59 10
254 42 10
231 239 10
247 246 9
296 250 9
244 272 9
250 279 9
74 236 9
377 281 9
101 26 9
326 121 9
197 189 8
203 220 8
355 122 8
352 122 8
30 284 8
286 254 8
41 277 8
288 134 8
344 132 8
108 184 8
244 184 8
110 185 8
