readyFrame:0
currentTime:44385.807403
count:47
x y response
291 148 60
345 139 50
247 196 50
296 254 30
55 85 29
252 57 28
310 137 27
335 139 27
250 56 25
312 133 25
327 142 23
314 137 23
341 139 21
375 142 20
52 78 18
49 190 15
108 40 13
51 80 13
192 207 12
243 13 12
298 276 11
289 147 11
310 142 11
135 198 11
309 134 11
231 260 11
244 16 11
286 275 10
289 150 10
245 202 10
110 204 10
251 206 10
190 207 10
248 258 10
101 44 10
354 140 9
255 203 9
197 208 9
246 267 9
54 107 9
301 271 8
296 271 8
239 196 8
338 139 8
328 138 8
254 205 8
246 59 8
