readyFrame:94
currentTime:44393.500675
count:49
x y response
291 126 67
247 173 45
344 118 44
253 36 35
309 115 33
334 118 32
112 18 29
57 63 28
251 35 28
313 115 27
310 120 21
340 118 19
326 121 19
54 57 19
373 122 17
136 174 16
51 168 16
308 121 14
198 183 12
286 250 11
232 234 11
56 82 11
249 79 11
288 130 10
293 124 10
349 118 10
192 184 10
372 275 10
249 233 10
53 59 10
74 231 10
252 183 10
103 22 10
254 182 10
327 117 9
369 129 9
110 181 9
332 120 9
290 244 9
57 55 9
367 129 9
299 250 8
246 266 8
55 91 8
31 279 8
247 38 8
208 216 8
248 242 8
284 245 8
