readyFrame:17
currentTime:44387.156334
count:45
x y response
258 75 74
310 66 55
217 120 52
300 66 34
280 63 30
276 64 29
28 28 27
298 68 22
340 70 19
306 66 17
277 69 16
108 129 16
256 76 15
24 131 15
256 73 14
293 70 13
293 66 13
23 25 13
352 257 11
333 222 11
353 70 11
373 163 11
355 258 10
169 133 10
222 130 10
209 120 9
353 63 9
217 115 9
82 138 9
210 181 8
157 183 8
50 187 8
353 68 8
273 189 8
11 236 8
370 245 8
203 120 8
226 127 8
150 170 8
261 190 8
356 71 8
27 45 8
273 71 8
222 176 8
24 23 8
