readyFrame:91
currentTime:44393.219592
count:48
x y response
285 110 54
242 156 48
338 102 48
52 51 29
303 99 29
307 99 26
327 101 26
247 22 26
367 106 21
248 24 20
245 21 18
106 6 18
254 254 16
304 104 15
320 105 15
302 105 15
132 159 14
333 102 13
290 211 13
352 267 12
245 215 12
49 45 12
283 231 11
247 166 11
99 10 11
188 168 10
228 217 10
72 217 10
306 96 10
193 168 10
300 106 10
249 165 9
51 69 9
249 253 9
244 27 9
198 200 9
244 24 9
295 231 9
243 22 9
105 166 9
129 160 9
174 205 8
326 104 8
37 261 8
47 48 8
199 194 8
287 226 8
49 95 8
