readyFrame:90
currentTime:44393.141540
count:45
x y response
283 106 47
240 152 43
335 99 38
301 96 31
245 19 26
324 98 26
50 48 25
304 96 25
364 103 21
50 50 19
243 18 19
44 152 17
301 101 16
246 21 16
237 18 16
317 102 16
47 43 15
252 249 14
300 93 14
129 156 14
331 98 13
303 93 13
350 262 12
185 164 12
240 18 12
323 100 11
244 162 11
285 104 10
46 45 10
27 261 9
243 211 9
190 164 9
246 161 9
370 249 8
240 242 8
177 210 8
287 207 8
240 219 8
297 103 8
357 103 8
377 103 8
377 101 8
242 21 8
103 163 8
49 69 8
