readyFrame:6
currentTime:44386.264707
count:48
x y response
291 125 61
344 117 54
247 171 48
253 35 33
57 62 30
313 114 29
333 117 28
251 34 26
112 17 21
110 18 20
373 121 20
54 56 19
326 120 19
310 119 17
340 117 15
50 167 15
50 165 14
256 271 13
136 173 13
192 182 12
288 125 12
53 58 11
197 183 11
255 178 11
56 82 11
293 123 10
249 231 10
249 79 10
286 248 10
250 271 10
231 233 9
246 240 9
367 128 9
56 80 9
298 249 9
103 21 9
356 283 8
252 182 8
368 120 8
342 127 8
248 229 8
326 116 8
284 243 8
289 243 8
254 180 8
296 243 8
250 38 8
244 265 8
