readyFrame:97
currentTime:44393.734966
count:48
x y response
290 137 50
246 184 47
344 128 43
55 74 32
333 128 28
308 126 26
294 241 25
312 126 23
251 46 23
249 45 21
325 131 20
373 132 18
309 131 17
49 179 17
107 30 17
52 68 16
109 29 16
307 132 15
339 128 14
134 186 13
310 122 13
297 262 12
292 134 12
252 49 12
287 136 11
74 243 10
191 195 10
253 193 10
305 133 10
50 70 10
297 264 9
54 92 9
295 257 9
196 195 9
108 192 9
326 127 9
54 89 8
305 129 8
83 249 8
244 279 8
54 66 8
307 123 8
250 194 8
53 102 8
53 100 8
185 246 8
243 6 8
241 3 8
