readyFrame:99
currentTime:44393.892078
count:48
x y response
247 194 48
291 146 48
56 82 34
334 137 31
295 251 28
310 135 26
314 135 24
252 55 24
108 38 22
312 131 20
375 141 19
250 54 18
341 137 16
192 205 15
327 141 15
52 76 15
294 144 13
310 140 13
49 188 13
298 273 12
243 11 12
289 145 12
135 195 12
51 79 12
198 205 11
74 253 10
55 75 10
289 147 10
310 274 10
248 256 10
235 262 9
54 109 9
296 268 9
293 141 9
251 204 9
231 257 9
328 136 8
182 253 8
246 264 8
284 268 8
320 140 8
249 62 8
54 107 8
249 58 8
246 58 8
350 137 8
288 151 8
254 58 8
