readyFrame:95
currentTime:44393.577800
count:48
x y response
291 129 53
247 175 48
344 121 44
57 65 34
334 120 34
310 118 29
110 21 28
314 117 28
253 38 25
374 125 23
295 232 22
54 59 20
251 37 20
136 176 15
254 41 14
310 123 14
51 170 13
257 276 12
341 120 12
289 127 12
309 115 11
254 184 11
54 64 10
56 82 10
294 126 10
75 234 10
306 125 10
103 25 10
232 237 9
249 235 9
327 119 9
249 79 9
110 184 9
236 241 9
299 253 9
285 248 9
248 244 8
344 131 8
134 177 8
244 270 8
56 62 8
183 233 8
249 43 8
250 276 8
54 108 8
248 232 8
256 182 8
55 91 8
