readyFrame:83
currentTime:44392.578347
count:45
x y response
259 75 69
311 66 46
217 120 42
301 66 31
281 64 29
276 64 26
28 28 24
307 66 21
277 69 18
277 62 17
299 69 17
293 70 17
24 132 16
233 213 15
108 130 14
341 71 13
356 260 12
334 222 12
164 135 12
294 66 12
24 25 12
354 209 11
373 164 11
221 127 10
256 74 10
257 80 10
348 258 9
211 182 9
151 172 9
106 130 9
82 139 9
256 76 9
28 40 9
333 70 9
301 70 9
209 120 8
216 127 8
223 131 8
198 186 8
226 127 8
176 167 8
33 32 8
225 130 8
353 70 8
25 23 8
