readyFrame:1
currentTime:44385.875448
count:46
x y response
291 144 48
246 191 48
345 135 43
252 53 31
295 249 28
55 81 27
309 133 27
334 135 27
314 132 24
250 52 21
310 137 20
108 36 20
326 138 19
374 138 19
52 74 17
311 129 16
340 135 15
308 139 14
243 9 13
248 253 13
288 143 12
298 270 11
293 142 11
102 40 11
253 56 11
310 270 10
285 270 10
135 193 10
51 77 10
73 251 10
245 262 10
306 140 9
191 202 9
251 202 9
196 203 9
54 102 9
55 73 9
289 265 9
245 197 8
327 134 8
202 235 8
59 84 8
178 242 8
248 57 8
231 254 8
295 265 8
