readyFrame:9
currentTime:44386.500865
count:45
x y response
285 108 48
337 101 45
241 154 41
303 98 31
306 97 30
327 100 26
366 105 23
105 5 20
319 104 18
333 100 16
303 103 15
351 265 14
305 95 13
131 158 13
302 95 13
252 252 12
282 108 12
248 22 12
51 42 11
187 166 10
71 215 10
244 213 10
324 102 10
248 163 10
299 105 10
49 90 10
50 76 10
247 252 9
173 203 9
301 101 9
104 165 9
9 272 9
47 46 9
250 161 8
246 164 8
294 229 8
282 112 8
192 166 8
48 48 8
331 100 8
306 229 8
243 26 8
320 100 8
97 9 8
287 106 8
